COUNTRY,YEAR_MONTH,TITLE,CHANNELTITLE,VIEW_COUNT,LIKES_RATIO
KR,2020-12-01,[드라마픽][예서&예빈] 서로 극혐하는 찐자매 케미 김혜윤&이지원 모음｜SKY 캐슬(SKY Castle),DRAMA Voyage,999590,1.29
MX,2020-12-01,COSAS QUE NO LES GUSTAN A LOS GATOS,Wine XD,999663,7.34
RU,2020-12-01,САМЫЙ КРУТОЙ АВТОСПЕЦ (отжали сервис),ГвоздиShow,99999,14.9
US,2020-12-01,SCP-953 Polymorphic Humanoid (SCP Animation),TheRubber,999977,5.07
BR,2021-01-01,A Trágica Verdade Sobre o Filho do Jackie Chan,#Refúgio Mental,999045,5.08
CA,2021-01-01,Eminem - Higher (Official Video) Explicit,EminemMusic,9997454,8.34
DE,2021-01-01,2021@YouAreHero,DieLochis,99988,7.36
FR,2021-01-01,Dites-le avec des angiospermes 🌼🌷🌹 | Un Créatif | Le Vortex#35,Le Vortex,99998,9.08
GB,2021-01-01,Eminem - Higher (Official Video) Explicit,EminemMusic,9997454,8.34
IN,2021-01-01,Office Ki Politics || Elvish Yadav,Elvish yadav,999960,22.88
JP,2021-01-01,【大食い】夢のA5ランク食べ放題！1人で高級焼肉を食べ放題したらいくら分食べられるのか？,三年食太郎,99984,2.33
KR,2021-01-01,(EN) [메이킹] 굿바이 {경이로운 소문} 최종화 비하인드!#경이로운소문 |  EP.16,OCN,999934,2.24
MX,2021-01-01,"¡GANAN MILLONES DE PESOS POR JUGAR FREEFIRE! 💰🔥(ElChino_RB,RE4LG4LIFE,TheNino,Domidios,DaniGamer)",El Show De Carlos Durán,999915,17.33
RU,2021-01-01,БИШКЕКТЕ МЫНЧАЛЫК САЛЮТ АТЫЛГАН ЭМЕС! Садыр ПРЕЗИДЕНТ!,TREND KG,99996,5.42
US,2021-01-01,Eminem - Higher (Official Video) Explicit,EminemMusic,9997454,8.34
BR,2021-02-01,Entrevistas Coletivas | Flamengo x Inter,Sport Club Internacional,99718,3.8
CA,2021-02-01,100 Days - [Minecraft Superflat],Luke TheNotable,9988934,5.41
DE,2021-02-01,Neue Wohnung- WIE GEHT ES WEITER ?! 🏠💓 | Jolineelisa,Joline Elisa,99905,8.29
FR,2021-02-01,Full Highlights | Lahore Qalandars vs Quetta Gladiators | Match 4 | HBL PSL 6  | MG2T,Pakistan Super League,998401,2.64
GB,2021-02-01,100 Days - [Minecraft Superflat],Luke TheNotable,9988934,5.41
IN,2021-02-01,COOK WITH COMALI SEASON 2 PUGAZH MOP மண்டை ஆ? கடுப்பான SUNITHA| முழு கோழி விருந்து😋|Thenu views,Thenu views,99995,5.29
JP,2021-02-01,Lil かんさい「Lil miracle」(Johnny's DREAM IsLAND 2020→2025 ～大好きなこの街から～),ジャニーズJr.チャンネル,999032,0
KR,2021-02-01,"[단독] '쯔양, 입맛 돌아와...' 아주머니 경악",tzuyang쯔양,999781,2.86
MX,2021-02-01,El transporte público más excéntrico del mundo (MAMALONES DE ACAPULCO),BERTH-OH,999272,5.39
RU,2021-02-01,Мои Домашние Питомцы 2 (анимация),X2DED,997266,8.64
US,2021-02-01,Honda Made A Real Truck?,Navs Garage,998928,1.85
BR,2021-03-01,ABRINDO MEUS PRESENTES DE ANIVERSÁRIO! Pirandooooo,Franciny Ehlke,999122,8.08
CA,2021-03-01,THIS YOUTUBER CHALLENGE UNCLE ROGER (Joshua Weissman),mrnigelng,999994,6.89
DE,2021-03-01,Willkommen zu meinem ersten Vlog.,Memira,99999,14.31
FR,2021-03-01,Davodka - Misanthrope (Clip Officiel),Davodka Officiel,99959,6.87
GB,2021-03-01,THIS YOUTUBER CHALLENGE UNCLE ROGER (Joshua Weissman),mrnigelng,999994,6.88
IN,2021-03-01,India's Fierce attack on England | India vs England 2021 | Shoaib Akhtar | SP1N,Shoaib Akhtar,999651,6.41
JP,2021-03-01,FINAL FANTASY VII REMAKE INTERGRADE – PS5 Announcement Trailer,スクウェア・エニックス,999854,0
KR,2021-03-01,"밀보드 차트 1위 브레이브걸스 롤린 2021 버전 라이브 무대 I BraveGirls, Rollin, Rollin', 브걸, 역주행, 민영, 유정, 은지, 유나, 에스콰이어",ESQUIRE Korea,998955,3.38
MX,2021-03-01,REACCIONO AL SEGUNDO TROLLEO QUE ME HIZO YAIR17😭 *me deja en la FRIENDZONE*,LuzGamingxd,998751,18.83
RU,2021-03-01,МЫ С СЕСТРОЙ ВЫЗВАЛИ ДУХА ИЗ ЗЕРКАЛА... СЕКРЕТНАЯ КОМНАТА 7 серия,Anny May,99995,16.27
US,2021-03-01,THIS YOUTUBER CHALLENGE UNCLE ROGER (Joshua Weissman),mrnigelng,999994,6.88
BR,2021-04-01,SIMARIA REVELA: A QUEM A BEBÊ VAI PUXAR?,Simone Mendes,999814,5.98
CA,2021-04-01,Making a Robot Chainsaw. Carving dogs.,Stuff Made Here,999617,8.98
DE,2021-04-01,Joko setzt Klaas ein Denkmal #DankeKlaas | Joko & Klaas 15 Minuten,Joko & Klaas,999624,3.49
FR,2021-04-01,Flèche Wallonne Hommes 2021 - Last KM,Tour de France,99995,1.47
GB,2021-04-01,Coming Soon... | Next Time | EastEnders,EastEnders,99993,0.79
IN,2021-04-01,6.5 Feet BIGGEST CANDLE Making | ലോകത്തിലെ ഏറ്റവും വലിയ മെഴുകുതിരി 6.5 അടി,Travel Master,999912,11.17
JP,2021-04-01,ヴァンパイア／るぅと【歌ってみた】,るぅとちゃんねる,999559,6.95
KR,2021-04-01,황의조를 포지션으로 화나게 하면 벌어지는 일ㅋㅋㅋ,동현kldh,999761,0.4
MX,2021-04-01,"Ricardo Montaner, Juan Luis Guerra 4.40 - Dios Así Lo Quiso",RicardoMontanerVEVO,9998659,1.12
RU,2021-04-01,"Кто Сделает Лучший ШКОЛЬНЫЙ ТИКТОК, Получит 1000$ - Челлендж",A4,9998902,8.51
US,2021-04-01,Making a Robot Chainsaw. Carving dogs.,Stuff Made Here,999617,8.98
